,Flux
110,8.961107654553159e-08
111,9.359996909649227e-08
112,9.740247243214368e-08
113,9.744972533261689e-08
114,9.531725285190031e-08
115,9.336052759394815e-08
116,9.267447470648804e-08
117,9.505702708954154e-08
118,9.776382432524006e-08
119,1.002749418213698e-07
120,1.0262244768614866e-07
121,1.0291020299108414e-07
122,1.0235668267609505e-07
123,1.0139601440984859e-07
124,9.725641295460339e-08
125,9.083077168793721e-08
126,8.536019459599847e-08
127,8.247417514869028e-08
128,8.192675760478828e-08
129,8.225908175031054e-08
130,8.438317345464609e-08
131,8.859485600121523e-08
132,9.356037025712063e-08
133,9.809183309260677e-08
134,9.944514963001915e-08
135,9.632563454338199e-08
136,9.049307102598138e-08
137,8.345626388450699e-08
138,7.619813747501414e-08
139,7.041582369081025e-08
140,6.666174127177352e-08
141,6.385806709225614e-08
142,6.16972603329283e-08
143,5.8990034275261566e-08
144,5.530353083095832e-08
145,5.196067771791468e-08
146,4.883960991241822e-08
147,4.76431489265213e-08
148,5.0003834079385035e-08
149,5.462845067956426e-08
150,6.051560556816368e-08
151,6.485154491602111e-08
152,6.547889030236716e-08
153,6.368100119885355e-08
154,6.121290104638427e-08
155,5.869161090654427e-08
156,5.5947449785795515e-08
157,5.307770477733218e-08
158,5.2582434320311174e-08
159,5.5574190971367676e-08
160,5.912927196206873e-08
161,6.222884485652787e-08
162,6.209346041936565e-08
163,5.775911437713605e-08
164,5.2970702932310725e-08
165,5.046113255885599e-08
166,4.966501915501661e-08
167,4.884851709438935e-08
168,4.905116525078054e-08
169,4.83335486724975e-08
170,4.585019382205195e-08
171,4.361517445665094e-08
172,4.277865703619213e-08
173,4.320079136618129e-08
174,4.4655712263299597e-08
175,4.8415141095784295e-08
176,5.288612709059176e-08
177,5.68350145019174e-08
178,5.99890131612188e-08
179,6.158394529879553e-08
180,6.217522848442449e-08
181,6.31943942985392e-08
182,6.489914357419603e-08
183,6.577708455410174e-08
184,6.532388713471323e-08
185,6.379149850187685e-08
186,6.494984887566442e-08
187,7.020486438298135e-08
188,7.484687831012238e-08
189,7.902469084454928e-08
