JD	Magnitude	Uncertainty	HQuncertainty	Band	Observer Code	Comment Code(s)	Comp Star 1	Comp Star 2	Charts	Comments	Transfomed	Airmass	Validation Flag	Cmag	Kmag	HJD	Star Name	Observer Affiliation	Measurement Method	Grouping Method	ADS Reference	Digitizer	Credit
2457730.60729	14.320	0.008		V	NRNA		000-BBQ-029		X16263DI		0	1.105	Z	-13.614		2457730.61061	OJ 287	AAVSO	STD				
2457731.72502	14.361	0.039		V	ATE		NA	146	X16659HL		0	1.132	Z		14.585	2457731.72843	OJ 287	AAVSO	STD				
2457731.72793	14.347	0.040		V	ATE		NA	146	X16659HL		0	1.138	Z		14.623	2457731.73134	OJ 287	AAVSO	STD				
2457731.73086	14.354	0.040		V	ATE		NA	146	X16659HL		0	1.145	Z		14.635	2457731.73427	OJ 287	AAVSO	STD				
2457731.73401	14.356	0.036		V	ATE		NA	146	X16659HL		0	1.153	Z		14.605	2457731.73742	OJ 287	AAVSO	STD				
2457731.73716	14.349	0.044		V	ATE		NA	146	X16659HL		0	1.161	Z		14.599	2457731.74057	OJ 287	AAVSO	STD				
2457732.48438	14.095	0.011		CV	GFDB		000-BBQ-029		X15647EI		0	1.964	Z	-12.348		2457732.48785	OJ 287	AAM	STD				
2457732.48721	14.089	0.011		CV	GFDB		000-BBQ-029		X15647EI		0	1.922	Z	-12.342		2457732.49068	OJ 287	AAM	STD				
2457732.49005	14.089	0.010		CV	GFDB		000-BBQ-029		X15647EI		0	1.882	Z	-12.357		2457732.49352	OJ 287	AAM	STD				
2457732.49288	14.091	0.011		CV	GFDB		000-BBQ-029		X15647EI		0	1.845	Z	-12.278		2457732.49635	OJ 287	AAM	STD				
2457732.493356	14.306	0.017		V	DAM		161		X15649LOX		0		Z	14.904			OJ 287	AAVSO	STD				
2457732.49449	14.288	0.008		V	NRNA		000-BBQ-029		X16263DI		0	1.567	Z	-13.415		2457732.49796	OJ 287	AAVSO	STD				
2457732.49571	14.091	0.010		CV	GFDB		000-BBQ-029		X15647EI		0	1.809	Z	-12.376		2457732.49918	OJ 287	AAM	STD				
2457732.49854	14.093	0.010		CV	GFDB		000-BBQ-029		X15647EI		0	1.774	Z	-12.380		2457732.50201	OJ 287	AAM	STD				
2457732.50784	14.578	0.008		SG	NRNA		000-BBQ-029		X16263DI		0	1.461	Z	-13.328		2457732.51131	OJ 287	AAVSO	STD				
2457732.52119	14.112	0.007		SR	NRNA		000-BBQ-029	CONTROL	X16263DI		0	1.374	Z	-13.819	14.490	2457732.52466	OJ 287	AAVSO	STD				
2457732.55068	13.845	0.009		SI	NRNA		000-BBQ-029	CONTROL	X16263DI		0	1.234	Z	-13.330	14.414	2457732.55415	OJ 287	AAVSO	STD				
